Number,url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
652,https://www.opentable.com/r/richmond-republic-draught-house-san-francisco?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Richmond Republic Draught House,1 Review,4.7,American,$30 and under,4.5,4.7,4.5,4.5,"Richmond Republic Draught House is a bar, restaurant and public house. While this homey spot has an excellent menu, many people come here just to enjoy a cold drink and relax. Richmond Republic has several amenities for guests to enjoy including multiple flat screen TVs to watch sports, private room for rent, pool table and more. Considering it's location in San Francisco, this is a meeting place for sports fans of the local teams so if you're here on a game day expect a large crowd of rowdy fans. Richmond Republic's menu is full of refined bar food. Appetizers include poutine, chips and salsa, Cajun shrimp mac n' cheese, chili cheese fries, fried brussel sprouts, nachos and more. Main entrées are dishes like cheesesteaks, burgers, and fried chicken sandwiches and salads.",Read more Love this spot. Great food and beer. Lots of tvs showing local games. ,https://resizer.otstatic.com/v2/photos/xlarge/7/57552506.webp
653,https://www.opentable.com/r/valenti-and-co-ristorante-san-anselmo?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Valenti & Co. Ristorante,825 Reviews,4.9,Italian,$31 to $50,4.9,4.9,4.7,4.7,"Welcome to Valenti & Co, Northern Italian Restaurant and Wine Bar in San Anselmo. Farm-fresh Italian Cuisine, thoughtfully sourced local ingredients and wines."," Fantastic in every way!  Friendly & unpretentious service, perfectly prepared & fresh flavors, top notch wine selection, and great outdoor setting.  We will definitely be adding this spot to our date night rotation and recommending it to friends.  Thank you for a perfect evening out!  The best piece of fish (halibut) I have had in such a long time. The fresh rabbit pasta was delicious and the service was impeccable.  Excellent food flawlessly prepared. Service was attentive without being overbearing. 

I guess that's why it's so expensive.  Wonderful menu—beautifully prepared and exceptionally fresh, delicious food. Terrific wine list. Lovely authentic atmosphere. Outstanding professional wait staff.
We love this neighborhood restaurant.  First time here.  Food was delicious.  Service was warm and friendly.  Restaurant is small and cozy.  It was a nice experience.  Valenti has a lovely backyard patio.  Their food is always excellent and the service is competent and very friendly.  However, their peaceful courtyard makes the experience extra special.  I'm not a big fan of crowded, noisy environments and this is completely the opposite. The protected space eliminates street noise and heaters are available as needed.  It looks like some kind of shade structure is coming too. Read more We sat outside this evening and they are rebooting the space with new umbrellas and tables and heaters. It is great to have this outside area! Our server, Freddy, was amazing and offered great service in a warm and friendly manner. The only negative was we were surprised at the tiny salad serving for the price! All the food was delicious and the wine list was great! High end and lower end options for all! Read more What a wonderful time travel neighborhood restaurant with real Italian food.. it has a friendly wonderful surround and the food is given great care.  I had a lovely dinner outside on the patio on a warm evening with my mother and son. The Prosecco was amazing to start with. We had the mixed greens which was quite small for the price. Normally I split one with a family member but these were really small so we each got our own. Delicious but a little extra lettuce would go a long way. I got the steak which was well prepared. Very tasty. Again, small portions, but cooked perfectly. An extra few polenta fries would have made it a little better. There’s nothing worse than dropping $200 on a dinner for 3 and feeling hungry an hour or two later.  Food is great, portions small for the price. Service was great. Server was friendly, helpful and kinda funny 😎 Read more Food is very delicious I will be returning to this restaurant very soon had the veal chop Milanese unbelievable. ",https://resizer.otstatic.com/v2/photos/xlarge/1/25085171.webp
654,https://www.opentable.com/r/uncle-yus-at-the-vineyard-livermore?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Uncle Yu's at the Vineyard,1937 Reviews,4.7,Pan-Asian,$30 and under,4.8,4.6,4.7,4.2,"Currently, our back parking lot is under construction due to the development of Stockman's Park. Parking is limited, but the parking lot is still accessible from L Street, or Railroad Avenue. We also have a few designated parking spaces near our rear entrance, but if all of those spaces are full, there is also a parking garage on Railroad Avenue. We apologize in advance for any inconvenience!

Winner of Diablo's Best of the East Bay Award, Uncle Yu's delivers Asian cuisine with a twist.

Innovative Asian cuisine enhanced with quality ingredients, paired with a Wine Spectator Award winning wine list, striking atmosphere and engaging service create the perfect dining experience.

Whether you desire a quick bite, a fantastic glass of wine, a meal with the family or a sommelier's wine paired dinner, Uncle Yu's delivers!

In addition to our dining room, we have a lively lounge and bar, a beautiful outdoor patio and a private room for special occasions and holiday parties.","Read more Awesome wait staff and equally lovely food.    Great salmon and snap peas as always!!  Wonderful experience as usual. The food is excellent; I recommend the sea bass puffs (appetizer), lotus lettuce cups, orange peel waygu beef and walnut honey prawns. The service has always been great. I recommend the limoncello cake for dessert.  It’s meh at best.  Some dishes too salty while others like any depth of flavor.  Great food and a good amount.  Service was excellent. Definitely recommend!!  In our opinion Uncle Yu’s is the best Chinese restaurant in the East bay!  The food & ambience is a solid 5 star!  I think our waiter came to our table once, seemed a bit tired  Food and service are ""always amazing""... Great restaurant!  Excellent meal & service. Matthew is 5 stars!
Long time customers (25 years) and great to return after a few years.  Overall it was a good lunch. I made reservations for a coworker’s birthday and in the past Uncle Yu’s was great with a birthday dessert and great service. This lunch the service was just very ordinary and no surprise birthday dessert etc.  I never miss Uncle Yu when I’m in Livermore! Great food and service…love it! ",https://resizer.otstatic.com/v2/photos/xlarge/3/26357404.webp
655,https://www.opentable.com/r/the-roll-san-francisco?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,The Roll,No Reviews,Rating not found,Sushi,$30 and under,Food not found,Service not found,Ambience not found,Value not found,"""The Roll"" offers the best sushi rolls (futomaki), sashimi bowls (kaisen-don), and authentic Japanese side dishes at a competitive price. Every dish is crafted using the finest ingredients and recipes developed through the extensive experience and research of Chef Alex from Sushi Hakko. Enjoy the essence of Japanese cuisine in a modern yet comfortable space, featuring large windows with views of San Francisco's vibrant streets.",,https://resizer.otstatic.com/v2/photos/xlarge/2/67585806.webp
656,https://www.opentable.com/benihana-concord?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,"Benihana - Concord, CA",5555 Reviews,4,Japanese,$30 and under,4.2,3.8,3.9,3.6,"Welcome to Benihana, a dining experience unlike any other! Our guests are seated at communal tables in groups, where your personal chef will perform the ancient art of Teppanyaki. Watch as we slice and dice, preparing a meal that will dazzle your eyes as well taste buds, whether you choose mouth-watering steak, tender chicken or succulent seafood. You can also enjoy sushi prepared by a talented sushi chef and indulge in a specialty cocktail.","Read more Our reservation was at 6:30, we arrived a few minutes early.  We were not seated until 7:30!  And after that we waited another 30 minutes to be served.  It was crazy!  Never again.  Great service! Ernesto was awesome! We really enjoying our experience at Benihana!  The restaurant was very clean, the service and food were great and the people at our table all had memorable evening.  Our server Sydney was amazing excellent customer service ❤️  Chef wasn’t friendly. Sad because we are long time customers.  Took my wife to dinner for our anniversary place was lil outdated and over priced for the food  , would have got a better value at a steak house  Our Chief was amazing however our waitress lacked in a lot of things. First, she forgot to bring out my brother and his girlfriend’s white rice. They didn’t get it until the very end and we had to tell her, not only that but she never came around to refill our waters; we again had to tell her. Our meals also came with green tea but never once did she even offer or say it came included. I knew most meals came with ice cream and I AGAIN had to tell her about it and that’s when she asked what kind we wanted. We went there to celebrate my mother’s birthday it was her first time and my families first time there and I am extremely upset that this is how their first experience was. I came here with my boyfriends family for his birthday and it was amazing and at the end of the meal, staff even took our picture and we got it in printed out and it was put in a cute card with the restaurant name and logo. The waitress never did that for us. Overall, it was a place that my family said would not go again. For the price that we paid and STILL gave her a pretty good tip, I am highly disappointed and extremely upset. Read more Lenzey was our chef. The food was perfect!!! Service was also spot on!  We celebrated 2 birthdays and had an amazing time! Our server, Rockson, was amazing!!! The food was great! The tricks were mind blowing and the best we’ve seen in all the years we’ve been coming to Benihana.  The overall appearance was dingy, chairs looked like they don’t get wiped down regularly and the walls looked pretty rough also. The Chief preparing the food did well but it was a basic experience, nothing spectacular or fancy. The Waitress was nice at first but didn’t come back to the table very often until the end, when it came time to pay the bill I felt rushed and pressured to leave the max gratuity even though the service was nothing great. Overall the food was good and I enjoyed being with my family. Read more",https://resizer.otstatic.com/v2/photos/xlarge/2/28603132.webp
657,https://www.opentable.com/iron-gate?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Iron Gate,3016 Reviews,4.8,French,$50 and over,4.8,4.9,4.7,4.4,Iron Gate offers excellent Continental cuisine in an elegant environment. The only restaurant with table site & flambe service in the bay area. Private Rooms available for 25 up to75 guests. The entire restaurant can be bought out for private parties.," Everyone was amazing friendly! Food was perfectly cooked with bombs of flavor down to last morsel. They sang happy birthday to our birthday girl with flare. We enjoyed every moment. Thank you!  As always, food, service and ambiance were awesome! Such a wonderful place to catch up with a very dear friend. Iron Gate is my go-to place for any occasion!  This place has been around for decades and has been very wedll maintained it has an old San Francisco feel to it. Always a wonderful experience.  Wonderful ambiance, great food, and outstanding service.  Our lunch was very good and the restaurant was very classic.  We've been enjoying special family occasions at the Iron Gate for years.  They never disappoint. The staff is friendly and professional.  The food is outstanding.  The ambiance is also quite pleasant.  We shared a wonderful birthday dinner for my brother last night, and will be returning to the Iron Gate for many years to come.  Two ""old"" friends getting together to catch up and celebrate that we are healthy.

We each had selections from the 3 course Lunch menu.

One New York Steak (she ate the whole thing), and One Petrale Sole (she also ate the whole thing), after each of us had a salad starter!

2 Creme Brulees for dessert (I took one home).

We both enjoyed Guiseppe (sp?), our waiter.  He endeared himself to all the tables he serviced!.  Nice personality.

We will return, and we mean it! Read more We went to lunch for my aunt's Bday. Great service, never had to ask to fill Ice tea or soda glass. They had the fixed price meal for 37 for lunch with a great mushroom appetizer, Sole for main course, and of course Chocolate mousse for dessert. After everyone saw my mousse they order desserts too. For my aunt they gave her ice cream as a surprise with a candle. You really don't get service like that any more. I love going to lunch but make sure you have a reservation. We were there at 11:30 by 12:30 it was fairly crowded. Read more Always an outstanding experience at the Iron Gate.
Steve our waiter was fantastic and very attentive, the service is like no other.
The food also as always cooked to perfection, everything ws wonderful.
We love this place, it's the last of it's kind. Read more Best place to dine - superb food and service . Elegant atmosphere ",https://resizer.otstatic.com/v2/photos/xlarge/1/51763805.webp
658,https://www.opentable.com/flemings-steakhouse-walnut-creek?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Fleming's Steakhouse - Walnut Creek,2579 Reviews,4.7,Steakhouse,$50 and over,4.6,4.7,4.6,4.3,"Your Walnut Creek Fleming's is located in the heart of Walnut Creek's boutique and international shopping district on Mt. Diablo Boulevard. Fleming's in Walnut Creek is an outstanding choice to enjoy an exceptional Prime steak, glass of wine or handcrafted cocktail. Whether you're celebrating a special occasion, hosting a business dinner or simply wanting to enjoy a night out - we will create a safe and memorable evening in our Dining Room. If you prefer to enjoy your fine dining experience at home, you can order and pay for lunch or dinner online and then pick up curbside or select from one of our delivery partners.","Read more Great food great service  will definitely come back again  Always a great meal and our server and busser Rafa was great!  Good steaks, but pricey. Drinks and wine are at the highest end. Everything priced separately, so bill can add up fast.
Comfortable seating, but gets loud when restaurant is full.
Great staff.  Service was excellent and the food was delicious.  I’d definitely recommend.  I love the relaxed feel of this place – like a comfortable dining room in a friend's home. I definitely would return to try more dishes.  The Tomahawk dinner is always good. I find the steak was much smaller this time. Otherwise, we are happy.  Excellent service and very attentive and personable from greeting at hostess station to server and bus person to departure of the restaraunt  We always enjoy dining here. The staff we encountered was friendly and helpful; however, I noticed the manager on duty did NOT interact with any guests. I've come to enjoy that portion of the visit. In the future, it's helpful for the kitchen staff to inform the servers of food items that are out of stock rather than substituting an item they deem satisfactory.  I love the taste of my meat melt in your mouth with mushroom and loaded potato taste yummy  Overcrowded noisy Sat night dinner experience. No atmosphere but just busy waiters zooming around. More like a diner than fine dining.
Poor value choose for wines by glass, better to bring your own. ",https://resizer.otstatic.com/v2/photos/xlarge/1/66527402.webp
659,https://www.opentable.com/r/le-marais-mill-valley?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Le Marais Mill Valley,2 Reviews,4.7,French,$31 to $50,4.8,4.4,4.5,4.4,"Tastes of France in Mill Valley, join us for romantic dinners, family meals, and special occasions in our charming, French-inspired California bistro. Chef Emmanuel's classic French dishes made with local and organic ingredients — fondue gougères, rillettes de saumon, entrecote aux trois poivres, moules frites, bouillabaisse marseillaise, saint-jacques scallops, poulet a l'estragon, soupe à l'oignon, salade niçoise, et plus!
Owner Patrick Ascaso has curated a list of his favorite, affordable French wines, offering some unique profiles from the Southern part of France with spicier, fruitier profiles, and also from the Northern Rhone region with earthier finishes, along with many organic wines with less and less nitrates to bring the natural flavors forward.","Read more Great food, well prepared and tasty. French/European food. Ample choices for starters and mains, good wine list too all at a reasonable price.  Highly recommend for a low key summer evening dinner. Great Bouillabaisse and super attentive staff. ",https://resizer.otstatic.com/v2/photos/xlarge/2/65706669.webp
660,https://www.opentable.com/chez-tj?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Chez TJ,Reviews not found,Rating not found,Contemporary French,$50 and over,4.7,4.7,4.6,4.3,"Attentive service, fresh flowers and soft music surround guests at this intimate, Michelin Starred restaurant in downtown Mountain View.

Inside a Victorian home, Executive Chef Stan Michalski is pleased to join the culinary team as Executive Chef as of January 2024, bringing his vast Michelin experience and passion for locally-sourced ingredients to further Chez TJ’s exceptional legacy. With over 15 years of experience, Stan brings Chez TJ not just culinary mastery, but a deep love of hospitality—believing what matters most is bringing people together over a delicious meal. He views preparing meals for guests as though he’s cooking for his closest friends.

Our pre-fixe Chef's Tasting menu encourages a relaxed and enjoyable evening of dining and conversation.

Chef's Tasting Menu $225
Garden Tasting Menu $140
Optional Wine Pairing $150
Service Charge 20%
For parties of 6 or more a deposit of $125 /per person is required","Read more We had a terrific meal and a great experience at Chez TJ. The staff was so warm and welcoming and dedicated to making sure we had a great time. Totally worth it!  Wonderful sommelier and other staff!  Would go back again and get the full 7 course menu.  This was my first Michelin dining experience. The food and wine were phenomenal. The tasting menu was such a fun experience. Service was great. Plenty of space despite the restaurant being in a house. Would return without a second thought.  The service at the restaurant was attentive and professional, which we appreciated. However, the food fell short of expectations, especially considering the reputation. The fish was unfortunately overcooked, lacking the delicate texture it should have. Similarly, the duck was quite tough, making it difficult to enjoy. While the Wagyu beef was fair, it didn’t live up to the high standards we anticipated from such a renowned establishment. Overall, the execution of these key dishes was disappointing Read more We were celebrating 🍾 a birthday, and Chez TJ was fabulous. The food was delicious and perfectly prepared. The service was impeccable, and the ambiance was very romantic. A perfect evening!  Our experience took ~3 hours and it was an evening well spent! Every dish was a sight to behold. My husband and I each had our favorites among the seafood and meat courses.  I won't say which ones, so as to leave it a surprise; but suffice it to say they were all scrumptious.  The wine pairing was spot on. Ted the sommelier was kind enough to create a modified wine pairing to accommodate my allergies.  We sat outside where the ambience suits the experience -- a serene garden setting,  string lights, hushed tones and well spaced tables.  Service was exactly as it should be for such an experience -- friendly, attentive but not obtrusive.  This is not a 'cheap date' :-). But find an evening, get dressed up  and treat yourselves -- you wont' regret it ! Read more Very appreciated the accommodation with a baby attending the dinner  This was the first opportunity for my 21 year old daughter and her friend to experience Michelin starred dining. I'm glad it was at Chez TJ. It was an unforgettable experience for her and whetted her appetite for more experiences. Now my wife and I have resolved to go to have a Chez TJ experience, ourselves.  I hate to give negative reviews, but I have to say I was very disappointed in the level of service we got for the price we paid. The number of  times we were told ""sorry"" was not acceptable. For example, receiving our dish, but having no silverware; being served our food, but no wine for pairing, until just before they took the plates away. I don't want to sound cheap, because while I can be frugal, when I decide to go ""all out"", I do. The fact that this was what I got for going ""all out"" is a disappointment. With that it wasn't entirely disappointing, but this is my true review. Read more Incredible flavors, best service and the highest quality food we have experienced through many cities and countries. Staff thoroughly explained each course and wine recommendations made based on our preferences to best complement. On this particular menu, we were treated to table side fresh shaved black truffles and a Japan A5 Wagu smoke show. We toured the gardens and were absolutely surprised by the large variety of specialty fruits and vegetables grown in-house to utilize in our meal. Chez TJ is truly a most special experience!

Thank you Chez TJ, Chef Stan and staff for inspiring and teaching our lil' chef during her Culinary Institute of America externship! Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/64351146.webp
661,https://www.opentable.com/r/3sixty-bar-bistro-market-burlingame?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,3SIXTY Bar / Bistro / Market,320 Reviews,3.9,Californian,$31 to $50,3.9,4,4,1.2,"Join us at 3SIXTY for an all-in-one dining experience! Food Thoughtfully Sourced, Carefully Served is Chef Michael Cantin's philosophy behind our seasonal menu which supports our local purveyors here in Northern California. We are inspired by the culture and diversity the Bay area represents, as well as you, our well-traveled guests. What may be comfort food for some will be new and enticing for others. Sharing this experience with guests from all over the world is our story.
We are located on the Atrium level of the Hyatt Regency San Francisco Airport - come join us!
(Complimentary self parking)","Read more The staff is always attentive and buffet is one of the best for a hotel.  Our server was great. He was very engaging and gave us great customer service.  The food was delicious. I really enjoyed the prime rib.  Dinner here was the complete opposite of my breakfast experiences.  A lot of wait staff talking, hanging around the bar and not really paying attention to their guests.  The menu is quite limited.  Tried the Brisket tid-bits.  When asked how it was, I was mixed (hardly any sauce) and the wait person walked away.  Just couldn't care less.  Wow. I did appreciate the bus service, as water was refilled constantly and my entre was delivered by another person with a smile.  This is the sole reason I left a significant tip. Read more Excellent, attentive service with delicious breakfast choices.  Whether it's the buffet or the items from the menu, your choices are wide spread and varied.  Loved my eggs, bacon breakfast.  The best part was the attentive and caring wait service.  She was wonderful.  Wait service was attentive.  lox breakfast was fresh and tasty. Nicely prepared entrees.  Everyone is welcoming and kind! We visit with family here all the time! Would highly recommend!  Our lunch was great- we were the only customers.
Limited but delicious choices had been served well.  Service was excellent- thank you Luci and Hector. The suite is bigger than photos - super nice  The breakfast buffet was excellent.  Particularly liked the made yo order Omelette bar. Nice selection of breakfast items.  Hector was amazing
Thank you for making the last night of our vacay special ",https://resizer.otstatic.com/v2/photos/xlarge/1/29384658.webp
662,https://www.opentable.com/r/pacific-catch-walnut-creek?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Pacific Catch Walnut Creek,1315 Reviews,4.5,Seafood,$30 and under,4.5,4.3,4.2,4.3,"Pacific Catch is a WestCoast Fish House dedicated to delivering high quality sustainable seafood with a unique perspective. From the day we opened we've been mindful about where our ingredients come from and how to bring to life the vibrant flavors and feeling of the Pacific. It's our commitment to our guests to keep things interesting, innovative, wholesome and thoughtfully sourced. That's why we've formalized our relationship with the Monterey Bay Seafood Aquarium's Seafood Watch, James Beard Foundation's Smart Catch and the Surfrider Foundation by becoming a partner and bringing on a director of sustainability to help steward these efforts.

We will be following the most stringent protocols on cleaning, sanitization, social distancing, and protections for employee health including temperature taking and the use of protective masks and gloves.","Read more Food was fresh and delicious. A great variety of options in the menu, every member of my family easily found something that they like and can eat. My family is composed of healthy eaters, non-healthy eaters, allergic to crab, allergic to sesame seeds, etc. There were 10 of us on this visit.

Portions are generous and the cocktails were very good. Service was excellent. Read more We had to ask for a server to order and then after the food came she never checked on us. Twice we asked other servers to get her so that we could pay. Very disappointing.  Delicious hors d’oeuvres—one of which was complimentary due to my points amassed from prior visits. We shared grilled salmon dinner which was perfectly cooked and enough for two light eaters who had indulged in appetizer!  Pacific Catch is a very solid lunch spot.  Diverse menu, fresh tasting food and attentive service.  All at pretty reasonable prices.  Food was really great but the restaurant is fairly noisy and big screens are distracting.  Had a lovely lunch. Poke was delicious, the rest of the bowl ingredients were fresh and tasty. A small bowl was a generous lunch portion. Attentive staff. The restaurant was quite empty so the noise level was minimal  Pacific catch is one of those restaurants you talk about to everyone. They treat you like family. They check on you to see if everything is going well. Their menu is very understandable and great portion size. I really recommend pacific catch. They also have a great happy hour. Their management team Gabriel, Alfonso, Alexis etc are excellent in making sure you have a great time when dinning in. Read more Excellent menu and food prep!
Full bar and good wines. Our waiter was outstanding  Had a great meal with my daughter. Poke was excellent as was the mixed catch platter. They were good enough to get us a round under happy hour prices even though we arrived at 5:45.   Mai Thai was great!  Aloha Fridays was fun and entertaining with half price Pupu platters, great company of friends, good entertainment by guitarist, Steve, & his sister, Amanda, doing the Hula dance.  It was pretty busy just after we arrived.  Getting attention of servers was challenging at times, but they were always pleasant.  Plan to visit again soon! ",https://resizer.otstatic.com/v2/photos/xlarge/3/26313539.webp
663,https://www.opentable.com/r/la-collina-millbrae?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,La Collina,294 Reviews,4.6,Italian,$30 and under,4.6,4.6,4.5,4.6,"La Collina serves delicious, authentic regional Italian cuisine, in a casually elegant and comfortable setting. At La Collina’s, we strive to give each of our guests an outstanding dining experience, whether you’re here on a romantic date, or family and friends gathering. La Collina Restaurant serves delicious, authentic regional Italian cuisine, in a casually elegant and comfortable setting. La Collina Italian restaurant is a family run restaurant since 1996. It`s is an upscale Italian restaurant with a full bar specializing in authentic Italian cuisine. At La Collina Restaurant, you will enjoy Authentic Northern Italian food, including exquisite seafood dishes, pasta, veal, organic salads.","Read more Another delightful & delicious time at La Collina!
Celebrated a childhood friends birthday with La Collina taking fabulous care of us!
La Collina has a comfortable cozy inviting environment! The staff is wonderful! We always look forward to being there!  Great food wonderful time with family and friends. Can’t ask for any more than that.  Always a great meal and service. The only frustration is the lack of parking close to the restaurant. But, once inside, everything is perfect.  Something for everyone. Love the  appetizer selection. The carpaccio was on point and very nice portion. Calamari Steak was good and portion too large to finish. Spaghetti Bolognese was rich in flavor, I could not finish but made room for an affrigato dessert. Definitely will be back!  La Collina is a gem! It’s ALWAYS DELICIOUS! ALWAYS COZY!!! GREAT service!!! ❤️  Great Italian Food, great service and great value......  Service felt rushed but it was not busy
The food was fair but disappointed as the full service was not offered.
We were forgotten about several times  La Colina is our go to close to home restaurant!!!
They NEVER disappoint!!!
Food is DELICIOUS!!!  Visited LaCollina twice had veal scalopini in brown sauce one time and cheese ravioli one time.  Both were excellent with very ample portions.  The Cesar salad was also very tasty.  Always have a good meal at La Collina.  Food is delicious! ",https://resizer.otstatic.com/v2/photos/xlarge/3/51179752.webp
664,https://www.opentable.com/r/stamp-bar-and-grill-san-carlos-2?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Stamp Bar & Grill,18 Reviews,4.7,Contemporary American,$30 and under,4.6,4.8,4.5,4.4,"You will find it hard to recall a time before small plates, and harder still to find a Bay Area restaurant where the focus was on satisfying one appetite at a time as we do at Stamp Bar & Grill. If you were venturing about Laurel street–in the happening pocket of San Carlos, and just looking for something different yet good to eat, step into Stamp Bar & Grill. We will most likely have plenty to keep you satisfied with our fresh, seasonal, and unique selections that will surely keep you coming back. From our meat to fish to vegetables, our food is as fresh, organic, and delicious as it gets.

Experience modern American classics alongside globally inspired flavors.
Come and seek
Stamp Bar & Grill","Read more My 13 year old and I frequent Stamp, what a hidden jewel. We’ve always had a great dining experience here; from food and drink to service and ambiance. I love their menu, and their dirty martinis are delicious. We visit Stamp at least monthly.  I love stamp! The owners, bartenders, and staff are all friendly and welcoming, and the food and cocktails are always delicious! I highly recommend the filet mignon stroganoff and the watermelon mule, but you can’t go wrong with anything!  The lamb shank was excellent.
The linguine and clams was ok. Needed more wine and clams  Outdoor seating available, sidewalk tables.  Very friendly staff, good service.  Varied menu.  We enjoyed the paella (sp?), lamb shank, salads, & rigatoni.  We shall return.  A bit expensive, but we enjoyed the dinner and service.  The food and drinks were very excellent and our server was very  excellent and took very good care of us  I ordered the Paella and it was mushy and wasn't pleasant to eat. My wife ordered the game hen and that was a much better dish. The Calamari wasn't bad but included slices of lemon which was very sour.  The service wasn't bad.  Great kitchen, great staff and great place to hang out.  This was my third time there and each time the food was delicious and service excellent.  Was good food enjoyed it
My girlfriend  had a good time ",https://resizer.otstatic.com/v2/photos/xlarge/3/63037921.webp
665,https://www.opentable.com/r/bistro-arancini-burlingame?corrid=4129c5df-960a-4fdc-976c-55a0e459629b&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Bistro Arancini,22 Reviews,4.4,Italian,$30 and under,4.3,4.6,4.5,4.2,"Bistro Arancini located on the Broadway Burlingame
and at our restaurant, you can find representatives of the most popular cuisines on a worldwide scale. Whether you want a usual or exotic dish, don’t hesitate to leaf through our diverse menu and order what you like."," Excellent food and staff was terrific. Good service too.  First time was a huge disappointment. Overall food was unseasoned, veal and chicken cutlets mediocre, pasta Alfredo oily and seafood paella dry overcooked and uninspired. Do not recommend.  Great service, good wine menu and fun atmosphere.  The food was excellent and the ambience was great. Very attentive wait staff. I highly recommend the bread pudding for dessert!  Thus evening was a bit hot , I understood for a tranditional Italian restaurant, the patio doors would remain open, but it just too warm for the dinner. After all it was great for a new business to hit the broadway , great restaurants  Ate lunch here with 3 other people. Food was delicious. 3 of us had the one of the specials of the day which was pasta dish with scallops and shrimp. The 4th person had the petrale sole which she said was very delicious. The restaurant has their own tasty special olive oil mixture to go with their bread. We all shared a cheesecake and a molten lava style chocolate cake for dessert which made a nice ending for a great lunch. Service was excellent. Read more We had a wonderful experience for a girls night out dinner on a Friday night. Highly recommend!!  Excellent food, service and atmosphere. Good value!  First time…excellent food, ambiance, and service. We will definitely be back!  We had a very enjoyable dinner at Bistro Arancini. The staff is professional and friendly, and the service is spot on. The ambiance is delightful, and the acoustics are great. We loved our pasta entrees and the beet salad was fun and delicious. We'll definitely be back; I expect that Bistro Arancini will become one of our regular spots. ",https://resizer.otstatic.com/v2/photos/xlarge/4/65411304.webp
